,date,open
114,2013-07-24,34.06
115,2013-07-25,33.47
116,2013-07-26,36.3
117,2013-07-29,36.375
118,2013-07-30,36.45
119,2013-07-31,36.07
120,2013-08-01,36.135
121,2013-08-02,36.75
122,2013-08-05,37.11
123,2013-08-06,36.83
124,2013-08-07,36.18
125,2013-08-08,36.385
126,2013-08-09,36.295
127,2013-08-12,36.14
128,2013-08-13,36.545
129,2013-08-14,36.29
130,2013-08-15,35.655
131,2013-08-16,35.49
132,2013-08-19,35.29
133,2013-08-20,35.18
134,2013-08-21,35.21
135,2013-08-22,35.54
136,2013-08-23,36.0325
137,2013-08-26,36.035
138,2013-08-27,35.45
139,2013-08-28,35.045
140,2013-08-29,35.365
141,2013-08-30,35.69
142,2013-09-03,35.85
143,2013-09-04,35.71
144,2013-09-05,36.125
145,2013-09-06,36.185
146,2013-09-09,35.84
147,2013-09-10,36.49
148,2013-09-11,37.165
149,2013-09-12,37.75
150,2013-09-13,37.795
151,2013-09-16,38.285
152,2013-09-17,37.63
153,2013-09-18,37.94
154,2013-09-19,38.76
155,2013-09-20,38.13
156,2013-09-23,38.055
157,2013-09-24,37.765
158,2013-09-25,38.42
159,2013-09-26,38.32
160,2013-09-27,38.455
161,2013-09-30,38.25
162,2013-10-01,38.49
163,2013-10-02,38.295
164,2013-10-03,38.48
165,2013-10-04,38.4
166,2013-10-07,38.3
167,2013-10-08,38.555
168,2013-10-09,37.695
169,2013-10-10,38.145
170,2013-10-11,38.61
171,2013-10-14,38.7675
172,2013-10-15,38.915
173,2013-10-16,38.6
174,2013-10-17,38.835
175,2013-10-18,39.635
176,2013-10-21,39.555
177,2013-10-22,39.95
178,2013-10-23,40.225
179,2013-10-24,39.68
180,2013-10-25,39.735
181,2013-10-28,40.1
182,2013-10-29,39.605
183,2013-10-30,40.315
184,2013-10-31,39.345
185,2013-11-01,40.77
186,2013-11-04,40.375
187,2013-11-05,40.18
188,2013-11-06,41.195
189,2013-11-07,40.65
190,2013-11-08,39.755
191,2013-11-11,40.6
192,2013-11-12,40.38
193,2013-11-13,39.62
194,2013-11-14,40.765
195,2013-11-15,40.625
196,2013-11-18,40.51
197,2013-11-19,40.005
198,2013-11-20,40.065
199,2013-11-21,39.9
200,2013-11-22,40.85
201,2013-11-25,40.685
202,2013-11-26,40.43
203,2013-11-27,40.695
204,2013-11-29,40.925
205,2013-12-02,40.745
206,2013-12-03,40.37
207,2013-12-04,40.195
208,2013-12-05,39.78
209,2013-12-06,40.2975
210,2013-12-09,40.13
211,2013-12-10,39.495
212,2013-12-11,38.8
213,2013-12-12,38.14
214,2013-12-13,38.415
215,2013-12-16,38.015
216,2013-12-17,38.29
217,2013-12-18,38.065
218,2013-12-19,39.12
219,2013-12-20,38.76
220,2013-12-23,38.985
221,2013-12-24,39.05
222,2013-12-26,39.365
223,2013-12-27,39.645
224,2013-12-30,39.395
225,2013-12-31,39.215
226,2014-01-02,39.035
227,2014-01-03,38.74
228,2014-01-06,38.45
229,2014-01-07,38.325
230,2014-01-08,38.64
231,2014-01-09,39.035
232,2014-01-10,38.78
233,2014-01-13,38.69
234,2014-01-14,37.56
235,2014-01-15,37.77
236,2014-01-16,37.91
237,2014-01-17,37.5
238,2014-01-21,37.525
239,2014-01-22,36.975
240,2014-01-23,36.74
241,2014-01-24,37.365
242,2014-01-27,37.615
243,2014-01-28,37.285
244,2014-01-29,36.75
245,2014-01-30,36.14
246,2014-01-31,35.445
247,2014-02-03,35.5
248,2014-02-04,35.0
249,2014-02-05,35.045
250,2014-02-06,35.33
251,2014-02-07,36.805
252,2014-02-10,37.155
253,2014-02-11,37.435
254,2014-02-12,37.245
255,2014-02-13,36.78
256,2014-02-14,37.175
257,2014-02-18,37.495
258,2014-02-19,36.92
259,2014-02-20,36.7
260,2014-02-21,36.89
261,2014-02-24,36.33
262,2014-02-25,36.25
263,2014-02-26,35.4
264,2014-02-27,35.81
265,2014-02-28,35.77
266,2014-03-03,35.005
267,2014-03-04,35.715
268,2014-03-05,35.995
269,2014-03-06,35.915
270,2014-03-07,36.495
271,2014-03-10,36.625
272,2014-03-11,36.995
273,2014-03-12,37.275
274,2014-03-13,37.92
275,2014-03-14,37.045
276,2014-03-17,37.405
277,2014-03-18,37.175
278,2014-03-19,37.5
279,2014-03-20,38.145
280,2014-03-21,39.105
281,2014-03-24,38.45
282,2014-03-25,38.22
283,2014-03-26,37.465
284,2014-03-27,36.535
285,2014-03-28,36.645
286,2014-03-31,36.95
287,2014-04-01,36.82
288,2014-04-02,37.175
289,2014-04-03,36.93
290,2014-04-04,36.775
291,2014-04-07,35.6
292,2014-04-08,35.32
293,2014-04-09,35.815
294,2014-04-10,36.37
295,2014-04-11,34.895
296,2014-04-14,34.815
297,2014-04-15,34.98
298,2014-04-16,34.825
299,2014-04-17,35.285
300,2014-04-21,35.155
301,2014-04-22,35.265
302,2014-04-23,35.73
303,2014-04-24,35.76
304,2014-04-25,36.0
305,2014-04-28,35.945
306,2014-04-29,35.59
307,2014-04-30,35.31
308,2014-05-01,35.375
309,2014-05-02,35.625
310,2014-05-05,35.25
311,2014-05-06,35.365
312,2014-05-07,34.89
313,2014-05-08,34.8
314,2014-05-09,34.85
315,2014-05-12,35.32
316,2014-05-13,35.485
317,2014-05-14,35.59
318,2014-05-15,35.13
319,2014-05-16,35.0
320,2014-05-19,35.28
321,2014-05-20,35.38
322,2014-05-21,35.355
323,2014-05-22,35.175
324,2014-05-23,36.145
325,2014-05-27,36.32
326,2014-05-28,36.65
327,2014-05-29,36.76
328,2014-05-30,36.58
329,2014-06-02,36.61
330,2014-06-03,36.86
